Date,ANET,CRWD,LWMHF,LLY,CEG,NVDA.NE,LRLCF,MRU.TO,SSB,COP,TMUS,BIIB,TSM,DOL.TO,NKE
11/21/2023,215.320007,208.979996,770,592.599976,122.510002,46.540001,459.299988,70.120003,73.18,115.169998,148.610001,229.570007,98.410004,98.400002,106.550003
11/22/2023,217.690002,209.610001,775,595.090027,123.25,45.380001,462.649994,69.739998,73.580002,114.849998,148.910004,231.25,98.650002,98.25,107.919998
11/24/2023,218.389999,210.660004,772,601.099976,123.860001,45.84,475.100006,69.32,73.650002,115.489998,148.979996,231.949997,97.830002,97.870003,107.639999
11/27/2023,218.669998,210.070007,766.299988,591.530029,125.099998,45.439999,469.399994,68.349998,72.959999,114.800003,148.800003,228.789993,97.209999,97.980003,107.959999
11/28/2023,217.25,212.350006,750.97998,591.599976,124.449997,45.75,467.75,69.18,73.010002,114.980003,148.380005,227.410004,97.980003,97.400002,108.75
11/29/2023,219.300003,234.440002,760,591.859985,120.580002,44.470001,476.309998,68.010002,73.989998,113.970001,149.550003,232.059998,98.879997,98.550003,110.370003
11/30/2023,219.710007,236.990005,768.400024,591.039978,121.040001,44.43,475.399994,68.32,74.050003,115.57,150.449997,234.080002,97.309998,99.419998,110.269997
12/1/2023,216.639999,235.029999,763.450012,584.039978,119.879997,43.259998,470.299988,68.529999,78.610001,115.230003,152.25,234.639999,98.550003,99.650002,113.480003
12/4/2023,215.100006,237.389999,760.330017,585.679993,118.919998,44.259998,474.75,68.5,80.050003,114.529999,152.800003,232.850006,97.010002,100.029999,115.150002
12/5/2023,215.710007,238.970001,770.630005,588.150024,118.309998,43.220001,478.5,68.860001,78.529999,113.139999,154,229.570007,96.690002,99.949997,115.410004
12/6/2023,213.399994,239.419998,770.429993,589.25,112.629997,44.240002,473.429993,68.769997,78.519997,110.519997,155.5,233.869995,97.849998,100.43,116.110001
12/7/2023,215.289993,240.169998,772.359985,588.27002,110.529999,45.099998,477.75,68.480003,79.860001,110.849998,156.360001,239.119995,99.290001,99.650002,114.809998
12/8/2023,224.029999,242.550003,797,598.049988,111.209999,44.32,474.549988,68.699997,79.860001,112.07,156.399994,239.289993,100.349998,98.75,115.910004
12/11/2023,226.570007,246.970001,797.070007,584.039978,116.150002,45.189999,475.700012,68.900002,80.160004,112.160004,158.850006,246.110001,100.949997,99.080002,118.610001
12/12/2023,229.860001,248.550003,792.51001,584.76001,114.489998,45.709999,483.75,68.699997,79.18,111.059998,160.440002,249.039993,101.599998,97.040001,119.639999
12/13/2023,229.550003,252.039993,806.580017,597.5,116.43,45.889999,483.25,65.699997,83.470001,111.849998,159.550003,255.559998,102.120003,92.879997,121.169998
12/14/2023,231.029999,252.679993,821.539978,573.669983,115.599998,46.450001,488.040009,65.529999,86.959999,114.949997,156.869995,256.540009,103.449997,90,121.019997
12/15/2023,235.600006,260.079987,816,572.039978,118.75,47.560001,483.75,66.050003,86.790001,114.540001,156.149994,248.130005,102.540001,93.339996,121.550003
12/18/2023,238.809998,259.799988,810.450012,579.76001,119.360001,47.080002,480.600006,66.440002,85.739998,114.900002,156.259995,250.330002,102.93,93.139999,121.139999
12/19/2023,236.699997,258.329987,820.030029,579.809998,120.809998,45.68,501,66.349998,86.529999,116.489998,155.869995,251.690002,103.870003,92.400002,122.639999
12/20/2023,233.160004,253.949997,810.530029,570.210022,117.010002,46.549999,493.350006,66.57,84.209999,116.690002,154.539993,248.160004,100.040001,92.629997,121.43
12/21/2023,235.339996,257.320007,817.880005,572,118.309998,46.330002,488.100006,67.269997,84.870003,116.830002,154.929993,253.860001,102.550003,94.190002,122.529999
12/22/2023,238.259995,255.630005,813.090027,570.390015,115.330002,46.830002,491.26001,67.870003,85.739998,117.660004,155.710007,257.970001,103.150002,94.360001,108.040001
12/26/2023,237.529999,257.869995,819.200012,570.669983,117.57,46.970001,492.149994,68.150002,86.169998,119.019997,156.830002,260.700012,104.449997,94.489998,108.019997
12/27/2023,237.729996,257.320007,820,581.51001,117.419998,47.029999,497.730011,68.589996,86.099998,118.489998,157.940002,261.929993,104.650002,95.489998,107.129997
12/28/2023,236.970001,256.130005,812.200012,580.849976,117.110001,45.73,505,68.519997,85.82,116.5,158.949997,260.579987,104.699997,95.010002,108.82
